# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
8660,3.464,59,2,0
8670,3.468,59,2,0
8680,3.472,59,2,0
8690,3.476,59,2,0
8700,3.480,59,2,0
8710,3.484,60,2,0
8720,3.488,60,2,0
8730,3.492,60,2,0
8740,3.496,60,2,0
8750,3.500,60,2,0
8760,3.504,60,2,0
8770,3.508,60,2,0
8780,3.512,60,2,0
8790,3.516,60,2,0
8800,3.520,61,2,0
8810,3.524,61,2,0
8820,3.528,61,2,0
8830,3.532,61,2,0
8840,3.536,61,2,0
8850,3.540,61,2,0
8860,3.544,61,2,0
8870,3.548,61,2,0
8880,3.552,61,2,0
8890,3.556,61,2,0
8900,3.560,62,2,0
8910,3.564,62,2,0
8920,3.568,62,2,0
8930,3.572,62,2,0
8940,3.576,62,2,0
8950,3.580,62,2,0
8960,3.584,62,2,0
8970,3.588,62,2,0
8980,3.592,62,2,0
8990,3.596,63,2,0
9000,3.600,63,2,0
9010,3.604,63,2,0
9020,3.608,63,2,0
9030,3.612,63,2,0
9040,3.616,63,2,0
9050,3.620,63,2,0
9060,3.624,63,2,0
9070,3.628,63,2,0
9080,3.632,64,2,0
9090,3.636,64,2,0
9100,3.640,64,2,0
9110,3.644,64,2,0
9120,3.648,64,2,0
9130,3.652,64,2,0
9140,3.656,64,2,0
9150,3.660,64,2,0
9160,3.664,64,2,0
9170,3.668,64,2,0
9180,3.672,65,2,0
9190,3.676,65,2,0
9200,3.680,65,2,0
9210,3.684,65,2,0
9220,3.688,65,2,0
9230,3.692,65,2,0
9240,3.696,65,2,0
9250,3.700,65,2,0
9260,3.704,65,2,0
9270,3.708,66,2,0
9280,3.712,66,2,0
9290,3.716,66,2,0
9300,3.720,66,2,0
9310,3.724,66,2,0
9320,3.728,66,2,0
9330,3.732,66,2,0
9340,3.736,66,2,0
9350,3.740,66,2,0
9360,3.744,67,2,0
9370,3.748,67,2,0
9380,3.752,67,2,0
9390,3.756,67,2,0
9400,3.760,67,2,0
9410,3.764,67,2,0
9420,3.768,67,2,0
9430,3.772,67,2,0
9440,3.776,67,2,0
9450,3.780,67,2,0
9460,3.784,68,2,0
9470,3.788,68,2,0
9480,3.792,68,2,0
9490,3.796,68,2,0
9500,3.800,68,2,0
9510,3.804,68,2,0
9520,3.808,68,2,0
9530,3.812,68,2,0
9540,3.816,68,2,0
9550,3.820,69,2,0
9560,3.824,69,2,0
9570,3.828,69,2,0
9580,3.832,69,2,0
9590,3.836,69,2,0
9600,3.840,69,2,0
9610,3.844,69,2,0
9620,3.848,69,2,0
9630,3.852,69,2,0
9640,3.856,69,2,0
9650,3.860,70,2,0
9660,3.864,70,2,0
9670,3.868,70,2,0
9680,3.872,70,2,0
9690,3.876,70,2,0
9700,3.880,70,2,0
9710,3.884,70,2,0
9720,3.888,70,2,0
9730,3.892,70,2,0
9740,3.896,71,2,0
9750,3.900,71,2,0
9760,3.904,71,2,0
9770,3.908,71,2,0
9780,3.912,71,2,0
9790,3.916,71,2,0
9800,3.920,71,2,0
9810,3.924,71,2,0
9820,3.928,71,2,0
9830,3.932,72,2,0
9840,3.936,72,2,0
9850,3.940,72,2,0
9860,3.944,72,2,0
9870,3.948,72,2,0
9880,3.952,72,2,0
9890,3.956,72,2,0
9900,3.960,72,2,0
9910,3.964,72,2,0
9920,3.968,72,2,0
9930,3.972,73,2,0
9940,3.976,73,2,0
9950,3.980,73,2,0
9960,3.984,73,2,0
9970,3.988,73,2,0
9980,3.992,73,2,0
9990,3.996,73,2,0
10000,4.000,73,2,0
10010,4.004,73,2,0
10020,4.008,74,2,0
10030,4.012,74,2,0
10040,4.016,74,2,0
10050,4.020,74,2,0
10060,4.024,74,2,0
10070,4.028,74,2,0
10080,4.032,74,2,0
10090,4.036,74,2,0
10100,4.040,74,2,0
10110,4.044,75,2,0
10120,4.048,75,2,0
10130,4.052,75,2,0
10140,4.056,75,2,0
10150,4.060,75,2,0
10160,4.064,75,2,0
10170,4.068,75,2,0
10180,4.072,75,2,0
10190,4.076,75,2,0
10200,4.080,75,2,0
10210,4.084,76,2,0
10220,4.088,76,2,0
10230,4.092,76,2,0
10240,4.096,76,2,0
10250,4.100,76,2,0
10260,4.104,76,2,0
10270,4.108,76,2,0
10280,4.112,76,2,0
10290,4.116,76,2,0
10300,4.120,77,2,0
10310,4.124,77,2,0
10320,4.128,77,2,0
10330,4.132,77,2,0
10340,4.136,77,2,0
10350,4.140,77,2,0
10360,4.144,77,2,0
10370,4.148,77,2,0
10380,4.152,77,2,0
10390,4.156,77,2,0
10400,4.160,78,2,0
10410,4.164,78,2,0
10420,4.168,78,2,0
10430,4.172,78,2,0
10440,4.176,78,2,0
10450,4.180,78,2,0
10460,4.184,78,2,0
10470,4.188,78,2,0
10480,4.192,78,2,0
10490,4.196,79,2,0
10500,4.200,79,2,0
10510,4.204,79,2,0
10520,4.208,79,2,0
10530,4.212,79,2,0
10540,4.216,79,2,0
10550,4.220,79,2,0
10560,4.224,79,2,0
10570,4.228,79,2,0
10580,4.232,80,2,0
10590,4.236,80,2,0
10600,4.240,80,2,0
10610,4.244,80,2,0
10620,4.248,80,2,0
10630,4.252,80,2,0
10640,4.256,80,2,0
10650,4.260,80,2,0
10660,4.264,80,2,0
10670,4.268,80,2,0
10680,4.272,81,2,0
10690,4.276,81,2,0
10700,4.280,81,2,0
10710,4.284,81,2,0
10720,4.288,81,2,0
10730,4.292,81,2,0
10740,4.296,81,2,0
10750,4.300,81,2,0
10760,4.304,81,2,0
10770,4.308,82,2,0
10780,4.312,82,2,0
10790,4.316,82,2,0
10800,4.320,82,2,0
