# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
2480,0.992,20,1,2
2490,0.996,20,1,2
2500,1.000,20,1,2
2510,1.004,20,1,2
2520,1.008,20,1,2
2530,1.012,20,1,2
2540,1.016,20,1,2
2550,1.020,20,1,2
2560,1.024,20,1,2
2570,1.028,20,1,2
2580,1.032,20,1,2
2590,1.036,20,1,2
2600,1.040,20,1,2
2610,1.044,20,1,2
2620,1.048,20,1,2
2630,1.052,20,1,2
2640,1.056,20,1,2
2650,1.060,20,1,2
2660,1.064,20,1,2
2670,1.068,20,1,2
2680,1.072,20,1,2
2690,1.076,20,1,2
2700,1.080,20,1,2
2710,1.084,20,1,2
2720,1.088,20,1,2
2730,1.092,20,1,2
2740,1.096,20,1,2
2750,1.100,20,1,2
2760,1.104,20,1,2
2770,1.108,20,1,2
2780,1.112,20,1,2
2790,1.116,20,1,2
2800,1.120,20,1,2
2810,1.124,20,1,2
2820,1.128,20,1,2
2830,1.132,20,1,2
2840,1.136,20,1,2
2850,1.140,20,1,2
2860,1.144,20,1,2
2870,1.148,20,1,2
2880,1.152,20,1,2
2890,1.156,20,1,2
2900,1.160,20,1,2
2910,1.164,20,1,2
2920,1.168,20,1,2
2930,1.172,20,1,2
2940,1.176,20,1,2
2950,1.180,20,1,2
2960,1.184,20,1,2
2970,1.188,20,1,2
2980,1.192,20,1,2
2990,1.196,20,1,2
3000,1.200,20,1,2
3010,1.204,20,1,2
3020,1.208,20,1,2
3030,1.212,20,1,2
3040,1.216,20,1,2
3050,1.220,20,1,2
3060,1.224,20,1,2
3070,1.228,20,1,2
3080,1.232,20,1,2
3090,1.236,20,1,2
3100,1.240,20,1,2
3110,1.244,20,1,2
3120,1.248,20,1,2
3130,1.252,20,1,2
3140,1.256,20,1,2
3150,1.260,20,1,2
3160,1.264,20,1,2
3170,1.268,20,1,2
3180,1.272,20,1,2
3190,1.276,20,1,2
3200,1.280,20,1,2
3210,1.284,20,1,2
3220,1.288,20,1,2
3230,1.292,20,1,2
3240,1.296,20,1,2
3250,1.300,20,1,2
3260,1.304,20,1,2
3270,1.308,20,1,2
3280,1.312,20,1,2
3290,1.316,20,1,2
3300,1.320,20,1,2
3310,1.324,20,1,2
3320,1.328,20,1,2
3330,1.332,20,1,2
3340,1.336,20,1,2
3350,1.340,20,1,2
3360,1.344,20,1,2
3370,1.348,20,1,2
3380,1.352,20,1,2
3390,1.356,20,1,2
3400,1.360,20,1,2
3410,1.364,20,1,2
3420,1.368,20,1,2
3430,1.372,20,1,2
3440,1.376,20,1,2
3450,1.380,20,1,2
3460,1.384,20,1,2
3470,1.388,20,1,2
3480,1.392,20,1,2
3490,1.396,20,1,2
3500,1.400,20,1,2
3510,1.404,20,1,2
3520,1.408,20,1,2
3530,1.412,20,1,2
3540,1.416,20,1,2
3550,1.420,20,1,2
3560,1.424,20,1,2
3570,1.428,20,1,2
3580,1.432,20,1,2
3590,1.436,20,1,2
