sep=;
# SmartBikeRearLight Fahrt-Export
# schema_version;2
# geraet;SmartBikeRearLight
# app_version;1.0
# start_utc;2026-08-06T20:42:32Z
# ende_utc;2026-08-06T20:44:15Z
t_s;uhrzeit;device_timestamp_ms;speed_kmph;distanz_km;hoehe_m;pressure_pa;gnss_altitude_m;temperature_c;course_deg;fix_status;sats;hdop;lat;lon;brake_decel_ms2;brake_light_pct;imu_health;baro_valid;system_state;init_degraded;watchdog_recovered;frame_version
0,0;22:42:32;3291;0,0;0,000;-68,5;102150;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,15;20;OK;1;RUN;0;0;2
1,0;22:42:33;4294;0,0;0,000;-67,6;102139;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,34;20;OK;1;RUN;0;0;2
2,0;22:42:34;5296;0,0;0,000;-67,8;102142;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,54;20;OK;1;RUN;0;0;2
3,0;22:42:35;6297;0,0;0,000;-68,2;102147;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,00;20;OK;1;RUN;0;0;2
4,0;22:42:36;7300;0,0;0,000;-67,3;102136;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,18;20;OK;1;RUN;0;0;2
5,0;22:42:37;8302;0,0;0,000;-67,8;102142;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,70;20;OK;1;RUN;0;0;2
6,0;22:42:38;9304;0,0;0,000;-67,6;102140;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,53;20;OK;1;RUN;0;0;2
7,0;22:42:39;10307;0,0;0,000;-68,1;102146;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,32;20;OK;1;RUN;0;0;2
8,0;22:42:40;11308;0,0;0,000;-67,8;102143;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,48;20;OK;1;RUN;0;0;2
9,0;22:42:41;12310;0,0;0,000;-67,2;102135;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,15;20;OK;1;RUN;0;0;2
10,0;22:42:42;13313;0,0;0,000;-68,1;102145;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,22;20;OK;1;RUN;0;0;2
