sep=;
# SmartBikeRearLight Fahrt-Export
# schema_version;2
# geraet;SmartBikeRearLight
# app_version;1.0
# start_utc;2026-08-06T20:42:32Z
# ende_utc;2026-08-06T20:44:15Z
t_s;uhrzeit;device_timestamp_ms;speed_kmph;distanz_km;hoehe_m;pressure_pa;gnss_altitude_m;temperature_c;course_deg;fix_status;sats;hdop;lat;lon;brake_decel_ms2;brake_light_pct;imu_health;baro_valid;system_state;init_degraded;watchdog_recovered;frame_version
11,0;22:42:43;14317;0,0;0,000;-68,6;102151;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,69;20;OK;1;RUN;0;0;2
12,0;22:42:44;15321;0,0;0,000;-68,2;102146;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;1,20;20;OK;1;RUN;0;0;2
13,0;22:42:45;16325;0,0;0,000;-68,3;102148;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,00;20;OK;1;RUN;0;0;2
14,0;22:42:46;17328;0,0;0,000;-67,6;102139;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,39;20;OK;1;RUN;0;0;2
15,0;22:42:47;18330;0,0;0,000;-68,8;102154;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;1,13;20;OK;1;RUN;0;0;2
16,0;22:42:48;19333;0,0;0,000;-68,3;102148;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,72;20;OK;1;RUN;0;0;2
17,0;22:42:49;20336;0,0;0,000;-67,9;102143;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,29;20;OK;1;RUN;0;0;2
18,0;22:42:50;21339;0,0;0,000;-68,0;102145;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,65;20;OK;1;RUN;0;0;2
19,1;22:42:51;22343;0,0;0,000;-68,1;102146;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,12;20;OK;1;RUN;0;0;2
20,1;22:42:52;23346;0,0;0,000;-68,2;102147;0,0;;0,0;NO_FIX;0;0,0;0,000000;0,000000;0,67;20;OK;1;RUN;0;0;2
21,1;22:42:53;24349;1,4;0,000;-68,5;102150;54,5;;111,9;FIX_OK;5;1,5;51,177254;6,812667;0,85;20;OK;1;RUN;0;0;2
22,1;22:42:54;25350;2,3;0,001;-68,0;102144;57,5;;71,5;FIX_OK;5;1,5;51,177223;6,812674;0,64;20;OK;1;RUN;0;0;2
23,1;22:42:55;26353;2,3;0,001;-67,4;102138;57,5;;71,5;FIX_OK;5;1,5;51,177223;6,812674;0,75;20;OK;1;RUN;0;0;2
24,1;22:42:56;27357;4,8;0,002;-67,5;102138;57,3;;63,5;FIX_OK;5;1,5;51,177231;6,812716;0,64;20;OK;1;RUN;0;0;2
25,1;22:42:57;28361;8,1;0,004;-67,4;102137;53,8;;53,1;FIX_OK;5;1,5;51,177277;6,812787;0,87;20;OK;1;RUN;0;0;2
26,1;22:42:58;29364;10,7;0,007;-67,4;102137;50,5;;58,9;FIX_OK;5;1,8;51,177296;6,812839;0,67;20;OK;1;RUN;0;0;2
27,1;22:42:59;30368;15,2;0,010;-67,5;102138;49,9;;62,7;FIX_OK;5;1,8;51,177315;6,812903;1,07;20;OK;1;RUN;0;0;2
28,1;22:43:00;31372;18,9;0,015;-67,5;102138;50,4;;58,2;FIX_OK;5;1,5;51,177330;6,812987;0,29;20;OK;1;RUN;0;0;2
29,1;22:43:01;32376;25,0;0,021;-67,2;102134;49,9;;52,8;FIX_OK;5;1,5;51,177380;6,813075;0,89;20;OK;1;RUN;0;0;2
30,1;22:43:02;33380;27,5;0,028;-67,5;102139;49,6;;51,7;FIX_OK;5;1,5;51,177425;6,813163;0,86;20;OK;1;RUN;0;0;2
31,1;22:43:03;34381;29,8;0,036;-67,4;102137;49,1;;49,7;FIX_OK;5;1,5;51,177475;6,813257;0,00;20;OK;1;RUN;0;0;2
32,1;22:43:04;35384;31,1;0,045;-67,3;102136;49,0;;49,2;FIX_OK;5;1,5;51,177528;6,813352;0,29;20;OK;1;RUN;0;0;2
33,1;22:43:05;36388;31,7;0,054;-67,2;102134;48,8;;51,7;FIX_OK;5;1,5;51,177582;6,813450;0,00;20;OK;1;RUN;0;0;2
34,0;22:43:06;37292;31,8;0,062;-67,1;102134;49,2;;50,5;FIX_OK;5;1,5;51,177635;6,813547;0,00;20;OK;1;RUN;0;0;2
35,0;22:43:07;38295;31,4;0,070;-67,7;102141;49,5;;49,0;FIX_OK;5;1,5;51,177681;6,813647;0,72;20;OK;1;RUN;0;0;2
36,0;22:43:08;39299;31,8;0,079;-67,5;102138;49,9;;46,0;FIX_OK;5;1,8;51,177738;6,813740;0,00;20;OK;1;RUN;0;0;2
37,0;22:43:09;40303;31,0;0,088;-67,9;102143;50,0;;44,6;FIX_OK;6;1,4;51,177795;6,813827;0,91;20;OK;1;RUN;0;0;2
38,0;22:43:10;41306;28,9;0,096;-67,0;102133;49,9;;41,3;FIX_OK;6;1,5;51,177853;6,813910;0,72;20;OK;1;RUN;0;0;2
39,0;22:43:11;42309;28,1;0,104;-67,8;102141;49,7;;41,8;FIX_OK;8;1,4;51,177902;6,813985;0,00;20;OK;1;RUN;0;0;2
40,0;22:43:12;43313;26,7;0,112;-67,4;102137;49,2;;40,7;FIX_OK;8;1,3;51,177948;6,814058;0,68;20;OK;1;RUN;0;0;2
41,0;22:43:13;44314;27,0;0,119;-66,8;102130;48,3;;34,2;FIX_OK;8;1,3;51,177998;6,814123;0,32;20;OK;1;RUN;0;0;2
42,0;22:43:14;45318;27,7;0,127;-66,7;102129;47,7;;31,3;FIX_OK;7;1,6;51,178051;6,814185;0,86;20;OK;1;RUN;0;0;2
43,0;22:43:15;46321;29,3;0,135;-66,3;102124;47,1;;32,9;FIX_OK;8;1,4;51,178104;6,814247;1,29;20;OK;1;RUN;0;0;2
44,0;22:43:16;47325;31,1;0,143;-67,0;102133;46,7;;34,4;FIX_OK;8;1,4;51,178162;6,814313;0,19;20;OK;1;RUN;0;0;2
45,0;22:43:17;48328;30,8;0,152;-67,2;102135;46,3;;35,8;FIX_OK;7;1,4;51,178226;6,814384;0,32;20;OK;1;RUN;0;0;2
46,0;22:43:18;49332;29,0;0,160;-67,4;102137;46,0;;35,3;FIX_OK;7;1,6;51,178284;6,814450;0,27;20;OK;1;RUN;0;0;2
47,0;22:43:19;50335;25,9;0,168;-66,7;102129;45,5;;38,3;FIX_OK;7;1,6;51,178394;6,814572;0,00;20;OK;1;RUN;0;0;2
48,0;22:43:20;51338;27,0;0,175;-66,5;102126;45,0;;44,0;FIX_OK;7;1,4;51,178444;6,814640;0,22;20;OK;1;RUN;0;0;2
49,1;22:43:21;52342;27,1;0,183;-66,7;102128;44,6;;47,8;FIX_OK;7;1,6;51,178497;6,814717;0,86;20;OK;1;RUN;0;0;2
50,1;22:43:22;53344;30,1;0,191;-67,1;102134;44,2;;45,3;FIX_OK;7;1,6;51,178551;6,814800;0,00;20;OK;1;RUN;0;0;2
51,1;22:43:23;54347;31,7;0,199;-66,5;102126;43,7;;45,3;FIX_OK;7;1,4;51,178612;6,814887;0,13;20;OK;1;RUN;0;0;2
52,1;22:43:24;55350;32,4;0,208;-66,9;102131;43,2;;46,1;FIX_OK;7;1,6;51,178669;6,814978;0,05;20;OK;1;RUN;0;0;2
53,1;22:43:25;56353;32,7;0,217;-66,3;102124;43,0;;44,6;FIX_OK;7;1,6;51,178730;6,815070;0,26;20;OK;1;RUN;0;0;2
54,1;22:43:26;57357;32,1;0,226;-66,7;102128;42,9;;44,4;FIX_OK;7;1,6;51,178787;6,815160;0,00;20;OK;1;RUN;0;0;2
55,1;22:43:27;58361;30,8;0,235;-67,2;102135;42,4;;46,3;FIX_OK;7;1,6;51,178844;6,815250;0,00;20;OK;1;RUN;0;0;2
56,1;22:43:28;59365;28,8;0,243;-66,4;102125;41,9;;46,3;FIX_OK;7;1,6;51,178894;6,815338;0,07;20;OK;1;RUN;0;0;2
57,1;22:43:29;60366;25,9;0,251;-67,1;102134;41,6;;44,6;FIX_OK;7;1,6;51,178940;6,815417;0,45;20;OK;1;RUN;0;0;2
58,1;22:43:30;61370;22,2;0,258;-67,6;102139;41,2;;41,8;FIX_OK;7;1,6;51,178982;6,815480;0,23;20;OK;1;RUN;0;0;2
59,1;22:43:31;62374;19,9;0,264;-67,5;102139;40,3;;42,7;FIX_OK;7;1,6;51,179020;6,815536;0,27;20;OK;1;RUN;0;0;2
60,1;22:43:32;63377;15,2;0,269;-68,2;102146;39,6;;35,9;FIX_OK;7;1,6;51,179050;6,815582;0,18;20;OK;1;RUN;0;0;2
61,1;22:43:33;64380;13,3;0,273;-68,1;102146;39,4;;10,2;FIX_OK;7;1,6;51,179077;6,815603;0,55;20;OK;1;RUN;0;0;2
62,1;22:43:34;65384;11,2;0,276;-67,7;102141;39,3;;336,5;FIX_OK;7;1,6;51,179100;6,815593;0,36;20;OK;1;RUN;0;0;2
63,1;22:43:35;66388;9,5;0,279;-67,7;102141;40,3;;297,2;FIX_OK;7;1,6;51,179111;6,815560;0,26;20;OK;1;RUN;0;0;2
64,1;22:43:36;67392;9,4;0,281;-68,5;102151;41,5;;260,7;FIX_OK;7;1,6;51,179111;6,815520;0,29;20;OK;1;RUN;0;0;2
65,0;22:43:37;68291;9,1;0,284;-68,5;102151;41,4;;227,3;FIX_OK;8;1,4;51,179100;6,815488;0,33;20;OK;1;RUN;0;0;2
66,0;22:43:38;69295;7,7;0,286;-68,0;102145;41,6;;192,4;FIX_OK;8;1,4;51,179081;6,815474;0,13;20;OK;1;RUN;0;0;2
67,0;22:43:39;70298;9,3;0,288;-67,9;102144;41,4;;173,6;FIX_OK;8;1,3;51,179058;6,815472;0,17;20;OK;1;RUN;0;0;2
68,0;22:43:40;71302;10,2;0,291;-67,7;102141;41,4;;168,8;FIX_OK;8;1,4;51,179031;6,815478;0,04;20;OK;1;RUN;0;0;2
69,0;22:43:41;72305;12,8;0,294;-67,7;102140;41,3;;175,6;FIX_OK;8;1,4;51,179001;6,815485;0,32;20;OK;1;RUN;0;0;2
70,0;22:43:42;73308;14,4;0,298;-67,8;102142;40,8;;200,6;FIX_OK;8;1,4;51,178967;6,815477;0,00;20;OK;1;RUN;0;0;2
71,0;22:43:43;74312;16,1;0,302;-67,5;102138;40,3;;219,4;FIX_OK;7;1,6;51,178936;6,815442;0,11;20;OK;1;RUN;0;0;2
72,0;22:43:44;75316;17,9;0,307;-67,2;102135;40,4;;228,1;FIX_OK;7;1,6;51,178905;6,815395;0,89;20;OK;1;RUN;0;0;2
73,0;22:43:45;76320;19,9;0,313;-68,0;102144;40,4;;229,6;FIX_OK;7;1,6;51,178871;6,815338;0,52;20;OK;1;RUN;0;0;2
74,0;22:43:46;77324;22,9;0,318;-67,5;102138;40,3;;227,9;FIX_OK;7;1,6;51,178833;6,815273;1,27;20;OK;1;RUN;0;0;2
75,0;22:43:47;78328;24,9;0,325;-67,6;102140;40,1;;224,8;FIX_OK;7;1,4;51,178791;6,815203;0,43;20;OK;1;RUN;0;0;2
76,0;22:43:48;79331;25,9;0,332;-67,5;102138;40,1;;226,0;FIX_OK;7;1,6;51,178741;6,815130;1,23;20;OK;1;RUN;0;0;2
77,0;22:43:49;80334;28,0;0,340;-67,4;102137;40,1;;225,8;FIX_OK;8;1,3;51,178696;6,815052;0,00;20;OK;1;RUN;0;0;2
78,0;22:43:50;81337;29,4;0,348;-67,7;102141;40,1;;224,8;FIX_OK;8;1,3;51,178642;6,814970;1,14;20;OK;1;RUN;0;0;2
79,0;22:43:51;82340;30,4;0,356;-67,7;102141;40,1;;224,2;FIX_OK;8;1,5;51,178555;6,814893;0,92;20;OK;1;RUN;0;0;2
80,1;22:43:52;83344;30,5;0,365;-67,5;102138;41,0;;224,2;FIX_OK;8;1,5;51,178501;6,814808;1,13;20;OK;1;RUN;0;0;2
81,1;22:43:53;84348;30,0;0,373;-67,9;102143;41,4;;224,4;FIX_OK;8;1,5;51,178448;6,814723;0,43;20;OK;1;RUN;0;0;2
82,1;22:43:54;85351;28,7;0,381;-67,9;102143;41,5;;226,4;FIX_OK;7;1,4;51,178398;6,814640;0,25;20;OK;1;RUN;0;0;2
83,1;22:43:55;86355;27,9;0,389;-68,0;102145;41,5;;219,8;FIX_OK;7;1,4;51,178345;6,814563;0,10;20;OK;1;RUN;0;0;2
84,1;22:43:56;87360;27,3;0,397;-68,8;102154;41,6;;212,1;FIX_OK;7;1,4;51,178284;6,814500;0,24;20;OK;1;RUN;0;0;2
85,1;22:43:57;88363;28,9;0,405;-67,4;102137;41,6;;211,1;FIX_OK;7;1,4;51,178223;6,814440;0,62;20;OK;1;RUN;0;0;2
86,1;22:43:58;89367;29,0;0,413;-67,7;102141;41,7;;211,7;FIX_OK;7;1,4;51,178162;6,814378;1,35;20;OK;1;RUN;0;0;2
87,1;22:43:59;90370;29,7;0,421;-67,8;102142;41,8;;213,6;FIX_OK;7;1,4;51,178097;6,814315;1,04;20;OK;1;RUN;0;0;2
88,1;22:44:00;91372;28,7;0,429;-67,7;102141;41,8;;213,4;FIX_OK;7;1,4;51,178040;6,814250;0,29;20;OK;1;RUN;0;0;2
89,1;22:44:01;92375;28,3;0,437;-67,8;102142;41,9;;213,0;FIX_OK;7;1,6;51,177979;6,814188;0,21;20;OK;1;RUN;0;0;2
90,1;22:44:02;93379;27,7;0,445;-67,7;102141;42,0;;215,8;FIX_OK;7;1,6;51,177921;6,814125;0,00;20;OK;1;RUN;0;0;2
91,1;22:44:03;94383;27,2;0,452;-67,7;102141;42,0;;222,2;FIX_OK;7;1,6;51,177868;6,814055;0,26;20;OK;1;RUN;0;0;2
92,1;22:44:04;95386;28,0;0,460;-67,8;102142;41,9;;224,1;FIX_OK;7;1,6;51,177818;6,813980;0,73;20;OK;1;RUN;0;0;2
93,1;22:44:05;96389;28,0;0,468;-68,6;102152;41,7;;223,2;FIX_OK;7;1,6;51,177765;6,813903;0,07;20;OK;1;RUN;0;0;2
94,0;22:44:06;97293;27,4;0,475;-68,0;102144;41,6;;223,9;FIX_OK;7;1,6;51,177719;6,813827;0,88;20;OK;1;RUN;0;0;2
95,0;22:44:07;98294;29,2;0,483;-67,3;102136;41,5;;227,1;FIX_OK;7;1,6;51,177670;6,813746;0,16;20;OK;1;RUN;0;0;2
96,0;22:44:08;99297;29,7;0,491;-67,3;102135;41,7;;230,5;FIX_OK;7;1,6;51,177620;6,813658;0,15;20;OK;1;RUN;0;0;2
97,0;22:44:09;100301;30,2;0,499;-67,5;102138;41,8;;231,9;FIX_OK;7;1,6;51,177574;6,813565;0,23;20;OK;1;RUN;0;0;2
98,0;22:44:10;101304;30,2;0,508;-67,7;102141;41,7;;232,6;FIX_OK;7;1,4;51,177528;6,813470;0,38;20;OK;1;RUN;0;0;2
99,0;22:44:11;102307;31,8;0,516;-67,7;102141;41,7;;232,5;FIX_OK;7;1,4;51,177475;6,813370;0,65;20;OK;1;RUN;0;0;2
100,0;22:44:12;103310;31,9;0,525;-67,6;102140;41,7;;232,0;FIX_OK;7;1,6;51,177429;6,813270;0,55;20;OK;1;RUN;0;0;2
101,0;22:44:13;104313;31,8;0,534;-67,5;102139;41,9;;232,9;FIX_OK;7;1,6;51,177383;6,813172;0,68;20;OK;1;RUN;0;0;2
102,0;22:44:14;105314;30,9;0,543;-67,7;102140;41,7;;230,6;FIX_OK;7;1,6;51,177334;6,813073;0,00;20;OK;1;RUN;0;0;2
103,0;22:44:15;106317;29,2;0,551;-67,6;102140;41,7;;230,5;FIX_OK;7;1,6;51,177284;6,812984;0,60;20;OK;1;RUN;0;0;2
