sep=;
# SmartBikeRearLight Fahrt-Export
# schema_version;2
# geraet;SmartBikeRearLight
# app_version;1.0
# start_utc;2026-08-06T20:37:05Z
# ende_utc;2026-08-06T20:38:35Z
t_s;uhrzeit;device_timestamp_ms;speed_kmph;distanz_km;hoehe_m;pressure_pa;gnss_altitude_m;temperature_c;course_deg;fix_status;sats;hdop;lat;lon;brake_decel_ms2;brake_light_pct;imu_health;baro_valid;system_state;init_degraded;watchdog_recovered;frame_version
0,0;22:37:05;1203513;0,0;0,000;-64,6;102103;50,9;;319,0;FIX_OK;13;0,8;51,170803;6,805077;0,53;20;OK;1;RUN;0;0;2
1,0;22:37:06;1204517;0,0;0,000;-64,2;102098;50,9;;319,0;FIX_OK;14;0,8;51,170803;6,805077;0,49;20;OK;1;RUN;0;0;2
2,0;22:37:07;1205521;0,0;0,000;-65,2;102111;50,9;;319,0;FIX_OK;13;0,9;51,170803;6,805077;0,04;20;OK;1;RUN;0;0;2
3,0;22:37:08;1206524;0,0;0,000;-64,9;102107;50,9;;319,0;FIX_OK;14;0,8;51,170803;6,805077;0,00;42;OK;1;RUN;0;0;2
4,0;22:37:09;1207528;0,0;0,000;-65,3;102112;50,9;;319,0;FIX_OK;14;0,8;51,170803;6,805077;0,49;20;OK;1;RUN;0;0;2
5,0;22:37:10;1208532;0,0;0,000;-64,4;102101;50,9;;319,0;FIX_OK;14;0,8;51,170803;6,805077;0,30;20;OK;1;RUN;0;0;2
6,0;22:37:11;1209536;0,0;0,000;-65,5;102114;50,9;;319,0;FIX_OK;13;0,9;51,170803;6,805077;0,40;20;OK;1;RUN;0;0;2
7,0;22:37:12;1210540;0,0;0,000;-65,5;102114;50,9;;319,0;FIX_OK;13;0,9;51,170803;6,805077;0,12;20;OK;1;RUN;0;0;2
8,0;22:37:13;1211543;2,4;0,000;-65,3;102111;50,9;;259,6;FIX_OK;13;0,8;51,170803;6,805077;0,25;20;OK;1;RUN;0;0;2
9,0;22:37:14;1212544;12,2;0,002;-64,5;102102;51,1;;314,1;FIX_OK;13;0,8;51,170799;6,805057;0,34;20;OK;1;RUN;0;0;2
10,0;22:37:15;1213547;16,5;0,006;-64,1;102097;51,1;;313,6;FIX_OK;12;1,0;51,170826;6,805015;0,33;20;OK;1;RUN;0;0;2
11,0;22:37:16;1214550;20,7;0,012;-64,1;102098;51,1;;314,3;FIX_OK;11;1,0;51,170856;6,804962;0,75;20;OK;1;RUN;0;0;2
12,0;22:37:17;1215553;24,2;0,018;-64,0;102097;51,0;;314,2;FIX_OK;11;1,0;51,170898;6,804897;0,18;20;OK;1;RUN;0;0;2
13,0;22:37:18;1216557;27,0;0,025;-64,6;102104;51,1;;311,7;FIX_OK;13;0,9;51,170940;6,804821;0,62;20;OK;1;RUN;0;0;2
14,0;22:37:19;1217560;28,6;0,033;-63,9;102095;51,1;;307,8;FIX_OK;12;1,0;51,170986;6,804737;0,61;20;OK;1;RUN;0;0;2
15,1;22:37:20;1218564;30,3;0,041;-64,0;102096;51,0;;304,8;FIX_OK;15;0,8;51,171032;6,804636;0,63;20;OK;1;RUN;0;0;2
16,1;22:37:21;1219566;31,6;0,050;-63,8;102094;51,0;;303,0;FIX_OK;13;0,9;51,171078;6,804530;0,32;20;OK;1;RUN;0;0;2
17,1;22:37:22;1220569;32,5;0,058;-64,2;102099;50,9;;302,6;FIX_OK;12;0,9;51,171124;6,804422;1,48;20;OK;1;RUN;0;0;2
