sep=;
# SmartBikeRearLight Fahrt-Export
# schema_version;2
# geraet;SmartBikeRearLight
# app_version;1.0
# start_utc;2026-08-06T20:26:09Z
# ende_utc;2026-08-06T20:28:13Z
t_s;uhrzeit;device_timestamp_ms;speed_kmph;distanz_km;hoehe_m;pressure_pa;gnss_altitude_m;temperature_c;course_deg;fix_status;sats;hdop;lat;lon;brake_decel_ms2;brake_light_pct;imu_health;baro_valid;system_state;init_degraded;watchdog_recovered;frame_version
0,0;22:26:09;546945;0,0;0,000;-62,8;102081;42,5;;152,6;FIX_OK;12;0,8;51,178913;6,801535;0,41;20;OK;1;RUN;0;0;2
1,0;22:26:10;547949;0,0;0,000;-63,6;102091;42,5;;152,6;FIX_OK;12;0,8;51,178913;6,801535;0,27;20;OK;1;RUN;0;0;2
2,0;22:26:11;548953;0,0;0,000;-63,8;102093;42,5;;152,6;FIX_OK;12;0,8;51,178913;6,801535;0,42;20;OK;1;RUN;0;0;2
3,0;22:26:12;549955;0,0;0,000;-62,8;102082;42,5;;152,6;FIX_OK;12;0,8;51,178913;6,801535;0,33;20;OK;1;RUN;0;0;2
4,0;22:26:13;550957;0,0;0,000;-63,4;102089;42,5;;152,6;FIX_OK;12;0,8;51,178913;6,801535;0,46;20;OK;1;RUN;0;0;2
5,0;22:26:14;551960;0,0;0,000;-63,7;102092;42,5;;152,6;FIX_OK;12;0,8;51,178913;6,801535;0,28;20;OK;1;RUN;0;0;2
6,0;22:26:15;552964;0,0;0,000;-64,2;102098;42,5;;152,6;FIX_OK;12;0,8;51,178913;6,801535;0,10;20;OK;1;RUN;0;0;2
7,0;22:26:16;553968;0,0;0,000;-64,0;102096;42,5;;152,6;FIX_OK;12;0,8;51,178913;6,801535;0,46;20;OK;1;RUN;0;0;2
8,0;22:26:17;554972;3,2;0,000;-63,1;102085;42,5;;144,1;FIX_OK;12;0,8;51,178913;6,801535;0,93;20;OK;1;RUN;0;0;2
9,0;22:26:18;555976;5,9;0,002;-63,6;102092;42,5;;146,6;FIX_OK;12;0,8;51,178898;6,801543;0,00;20;OK;1;RUN;0;0;2
10,0;22:26:19;556979;11,8;0,004;-63,0;102084;42,6;;153,1;FIX_OK;12;0,8;51,178875;6,801562;0,60;20;OK;1;RUN;0;0;2
11,0;22:26:20;557983;15,3;0,008;-63,9;102095;42,8;;149,2;FIX_OK;12;0,8;51,178841;6,801590;1,09;20;OK;1;RUN;0;0;2
12,0;22:26:21;558986;16,4;0,012;-62,8;102082;43,0;;148,1;FIX_OK;12;0,8;51,178806;6,801623;0,91;20;OK;1;RUN;0;0;2
13,0;22:26:22;559988;13,5;0,017;-63,4;102088;43,1;;149,5;FIX_OK;12;0,8;51,178776;6,801655;0,00;20;OK;1;RUN;0;0;2
14,0;22:26:23;560991;3,5;0,019;-63,6;102091;43,3;;158,3;FIX_OK;12;0,8;51,178757;6,801675;0,15;20;OK;1;RUN;0;0;2
15,0;22:26:24;561995;0,0;0,019;-63,7;102093;43,5;;158,3;FIX_OK;12;0,8;51,178753;6,801678;0,36;20;OK;1;RUN;0;0;2
16,1;22:26:25;562998;0,0;0,019;-63,1;102085;43,4;;158,3;FIX_OK;12;0,8;51,178749;6,801680;0,47;20;OK;1;RUN;0;0;2
17,1;22:26:26;564001;0,0;0,019;-63,3;102087;43,4;;158,3;FIX_OK;12;0,8;51,178749;6,801680;0,34;20;OK;1;RUN;0;0;2
18,1;22:26:27;565005;0,0;0,019;-63,0;102083;43,4;;158,3;FIX_OK;11;0,8;51,178749;6,801680;0,00;20;OK;1;RUN;0;0;2
19,1;22:26:28;566008;0,0;0,019;-63,4;102089;43,4;;158,3;FIX_OK;11;0,8;51,178749;6,801680;0,58;20;OK;1;RUN;0;0;2
20,1;22:26:29;567009;5,6;0,020;-63,3;102087;43,4;;137,2;FIX_OK;11;0,8;51,178749;6,801680;0,21;20;OK;1;RUN;0;0;2
21,1;22:26:30;568012;11,8;0,023;-63,0;102084;43,5;;150,2;FIX_OK;11;0,8;51,178730;6,801705;0,41;20;OK;1;RUN;0;0;2
22,1;22:26:31;569015;16,2;0,027;-63,1;102085;43,5;;147,5;FIX_OK;11;0,8;51,178696;6,801740;1,42;20;OK;1;RUN;0;0;2
23,1;22:26:32;570019;20,2;0,032;-63,0;102084;43,4;;146,5;FIX_OK;12;0,8;51,178654;6,801785;1,38;20;OK;1;RUN;0;0;2
24,1;22:26:33;571022;18,6;0,037;-63,3;102087;43,4;;145,1;FIX_OK;12;0,8;51,178612;6,801833;0,04;20;OK;1;RUN;0;0;2
25,1;22:26:34;572026;13,5;0,041;-63,3;102088;43,2;;150,0;FIX_OK;12;0,8;51,178574;6,801870;0,00;20;OK;1;RUN;0;0;2
26,1;22:26:35;573029;11,0;0,045;-63,6;102092;43,1;;156,0;FIX_OK;12;0,8;51,178547;6,801890;0,22;20;OK;1;RUN;0;0;2
