sep=;
# SmartBikeRearLight Fahrt-Export
# schema_version;2
# geraet;SmartBikeRearLight
# app_version;1.0
# start_utc;2026-08-06T20:20:41Z
# ende_utc;2026-08-06T20:24:06Z
t_s;uhrzeit;device_timestamp_ms;speed_kmph;distanz_km;hoehe_m;pressure_pa;gnss_altitude_m;temperature_c;course_deg;fix_status;sats;hdop;lat;lon;brake_decel_ms2;brake_light_pct;imu_health;baro_valid;system_state;init_degraded;watchdog_recovered;frame_version
0,0;22:20:41;219749;0,0;0,000;-64,6;102104;47,5;;211,4;FIX_OK;7;1,2;51,176369;6,809710;0,27;20;OK;1;RUN;0;0;2
1,0;22:20:42;220752;0,0;0,000;-64,8;102106;47,5;;211,4;FIX_OK;7;1,2;51,176369;6,809710;0,16;20;OK;1;RUN;0;0;2
2,0;22:20:43;221756;0,0;0,000;-64,5;102102;47,5;;211,4;FIX_OK;7;1,2;51,176369;6,809710;0,19;20;OK;1;RUN;0;0;2
3,0;22:20:44;222757;0,0;0,000;-64,5;102102;47,5;;211,4;FIX_OK;7;1,2;51,176369;6,809710;0,60;20;OK;1;RUN;0;0;2
4,0;22:20:45;223759;0,0;0,000;-64,6;102103;47,5;;211,4;FIX_OK;7;1,2;51,176369;6,809710;0,41;20;OK;1;RUN;0;0;2
5,0;22:20:46;224761;0,0;0,000;-65,0;102109;47,5;;211,4;FIX_OK;7;1,2;51,176369;6,809710;0,30;20;OK;1;RUN;0;0;2
6,0;22:20:47;225763;0,0;0,000;-64,9;102107;47,5;;211,4;FIX_OK;7;1,2;51,176369;6,809710;0,22;20;OK;1;RUN;0;0;2
7,0;22:20:48;226765;0,0;0,000;-64,3;102100;47,5;;211,4;FIX_OK;7;1,2;51,176369;6,809710;0,33;20;OK;1;RUN;0;0;2
8,0;22:20:49;227766;0,0;0,000;-64,3;102100;47,5;;211,4;FIX_OK;8;1,0;51,176369;6,809710;0,61;20;OK;1;RUN;0;0;2
9,0;22:20:50;228770;0,0;0,000;-64,8;102105;47,5;;211,4;FIX_OK;8;1,0;51,176369;6,809710;0,39;20;OK;1;RUN;0;0;2
10,0;22:20:51;229773;0,0;0,000;-65,3;102112;47,5;;211,4;FIX_OK;8;1,0;51,176369;6,809710;0,26;20;OK;1;RUN;0;0;2
11,0;22:20:52;230775;0,0;0,000;-64,6;102104;47,5;;211,4;FIX_OK;8;1,0;51,176369;6,809710;0,26;20;OK;1;RUN;0;0;2
12,0;22:20:53;231778;0,0;0,000;-64,7;102105;47,5;;211,4;FIX_OK;8;1,0;51,176369;6,809710;0,33;20;OK;1;RUN;0;0;2
13,0;22:20:54;232782;0,0;0,000;-64,5;102102;47,5;;211,4;FIX_OK;8;1,0;51,176369;6,809710;0,56;20;OK;1;RUN;0;0;2
14,0;22:20:55;233784;0,0;0,000;-64,3;102099;47,5;;211,4;FIX_OK;8;1,0;51,176369;6,809710;0,49;20;OK;1;RUN;0;0;2
15,0;22:20:56;234786;0,0;0,000;-64,9;102108;47,5;;211,4;FIX_OK;8;1,0;51,176369;6,809710;0,42;20;OK;1;RUN;0;0;2
16,0;22:20:57;235788;0,0;0,000;-64,5;102103;47,5;;211,4;FIX_OK;8;1,0;51,176369;6,809710;0,01;20;OK;1;RUN;0;0;2
17,0;22:20:58;236791;3,6;0,000;-64,6;102103;47,5;;215,7;FIX_OK;8;1,0;51,176369;6,809710;0,00;20;OK;1;RUN;0;0;2
18,0;22:20:59;237794;8,8;0,002;-64,4;102101;47,4;;214,4;FIX_OK;8;1,0;51,176350;6,809693;0,91;20;OK;1;RUN;0;0;2
19,0;22:21:00;238796;14,5;0,005;-64,0;102096;47,4;;215,4;FIX_OK;8;1,0;51,176327;6,809667;0,00;20;OK;1;RUN;0;0;2
20,0;22:21:01;239798;18,1;0,010;-64,5;102102;47,4;;215,5;FIX_OK;8;1,0;51,176292;6,809630;1,09;20;OK;1;RUN;0;0;2
21,1;22:21:02;240800;21,9;0,016;-64,1;102097;47,3;;216,5;FIX_OK;8;1,0;51,176250;6,809582;0,00;20;OK;1;RUN;0;0;2
22,1;22:21:03;241802;24,5;0,022;-64,3;102100;47,2;;216,4;FIX_OK;8;1,0;51,176205;6,809526;0,48;20;OK;1;RUN;0;0;2
23,1;22:21:04;242805;26,3;0,029;-63,4;102089;47,1;;216,8;FIX_OK;8;1,0;51,176155;6,809467;1,47;20;OK;1;RUN;0;0;2
24,1;22:21:05;243807;27,8;0,037;-63,7;102093;47,1;;217,0;FIX_OK;8;1,0;51,176102;6,809402;0,01;20;OK;1;RUN;0;0;2
25,1;22:21:06;244808;27,5;0,044;-63,7;102093;47,1;;216,7;FIX_OK;8;1,0;51,176044;6,809337;0,00;20;OK;1;RUN;0;0;2
26,1;22:21:07;245810;27,5;0,052;-63,8;102093;46,9;;215,9;FIX_OK;8;1,0;51,175987;6,809272;0,25;20;OK;1;RUN;0;0;2
