sep=;
# SmartBikeRearLight Fahrt-Export
# schema_version;2
# geraet;SmartBikeRearLight
# app_version;1.0
# start_utc;2026-08-06T20:29:10Z
# ende_utc;2026-08-06T20:35:13Z
t_s;uhrzeit;device_timestamp_ms;speed_kmph;distanz_km;hoehe_m;pressure_pa;gnss_altitude_m;temperature_c;course_deg;fix_status;sats;hdop;lat;lon;brake_decel_ms2;brake_light_pct;imu_health;baro_valid;system_state;init_degraded;watchdog_recovered;frame_version
0,0;22:29:10;728168;29,7;0,000;-62,1;102073;48,1;;135,2;FIX_OK;12;1,1;51,170532;6,805510;0,32;20;OK;1;RUN;0;0;2
1,0;22:29:11;729171;29,9;0,008;-62,5;102078;48,0;;135,7;FIX_OK;13;0,9;51,170479;6,805593;0,36;20;OK;1;RUN;0;0;2
2,0;22:29:12;730173;30,4;0,017;-62,7;102081;47,3;;136,5;FIX_OK;13;0,9;51,170422;6,805682;0,44;20;OK;1;RUN;0;0;2
3,0;22:29:13;731175;28,8;0,025;-62,7;102080;47,2;;136,2;FIX_OK;14;0,7;51,170368;6,805763;0,27;20;OK;1;RUN;0;0;2
4,0;22:29:14;732176;28,0;0,033;-62,5;102078;47,1;;137,0;FIX_OK;13;0,8;51,170315;6,805840;0,58;20;OK;1;RUN;0;0;2
5,0;22:29:15;733178;28,4;0,041;-62,3;102075;47,1;;137,8;FIX_OK;13;0,8;51,170261;6,805917;0,18;20;OK;1;RUN;0;0;2
6,0;22:29:16;734181;28,3;0,049;-62,5;102078;47,5;;136,5;FIX_OK;13;0,9;51,170212;6,805992;0,69;20;OK;1;RUN;0;0;2
7,0;22:29:17;735184;27,7;0,056;-62,3;102075;47,5;;136,2;FIX_OK;14;0,7;51,170158;6,806072;0,07;20;OK;1;RUN;0;0;2
8,0;22:29:18;736186;25,7;0,064;-62,9;102083;47,1;;141,7;FIX_OK;14;0,7;51,170101;6,806133;0,97;20;OK;1;RUN;0;0;2
9,0;22:29:19;737189;26,1;0,071;-62,5;102078;47,0;;144,3;FIX_OK;13;0,8;51,170044;6,806198;0,00;20;OK;1;RUN;0;0;2
10,0;22:29:20;738192;26,5;0,078;-63,1;102085;47,0;;145,8;FIX_OK;12;0,8;51,169983;6,806255;0,48;20;OK;1;RUN;0;0;2
11,0;22:29:21;739193;26,2;0,086;-62,2;102074;47,3;;146,4;FIX_OK;12;0,8;51,169930;6,806317;0,95;36;OK;1;RUN;0;0;2
12,0;22:29:22;740195;25,7;0,093;-62,6;102079;47,4;;146,9;FIX_OK;12;0,8;51,169872;6,806372;0,09;20;OK;1;RUN;0;0;2
